source_code,source_label,n_destinations_4d,destinations_4d,target_4d_unique,n_destinations_3d,destinations_3d,target_3d_unique,n_destinations_2d,destinations_2d,target_2d_unique,n_destinations_1d,destinations_1d,target_1d_unique,maximum_unambiguous_level,decision_status_4d
5131,"Supervisores, inspectores y similares en la fabricación de productos de madera y papel, y en trabajos de impresión",1,8101,8101,1,810,810,1,81,81,1,8,8,4d,official_unique
5139,Otros trabajadores que desempeñan una ocupación afín a las comprendidas en este grupo,1,7301,7301,1,730,730,1,73,73,1,7,7,4d,official_unique
5140,"Jefes, coordinadores y similares en la fabricación metalúrgica y en la fabricación de productos eléctricos y electrónicos, la reparación y mantenimiento de maquinaria y productos metálicos y de precisión",1,1614,1614,1,161,161,1,16,16,1,1,1,4d,official_unique
5141,"Supervisores, inspectores y similares en la fabricación metalúrgica y en la fabricación de productos eléctricos y electrónicos, la reparación y mantenimiento de maquinaria y productos metálicos y de precisión",3,2630|7201|8201,NA,3,263|720|820,NA,3,26|72|82,NA,3,2|7|8,NA,unresolved,official_multiple_unresolved
5149,Otros trabajadores que desempeñan una ocupación afín a las comprendidas en este subgrupo,1,2630,2630,1,263,263,1,26,26,1,2,2,4d,official_unique
5150,"Jefes, coordinadores y similares en la fabricación de productos de cerámica, vidrio y otros minerales no metálicos",1,1614,1614,1,161,161,1,16,16,1,1,1,4d,official_unique
5151,"Supervisores, inspectores y similares en la fabricación de productos de cerámica, vidrio y otros minerales no metálicos",1,7601,7601,1,760,760,1,76,76,1,7,7,4d,official_unique
5159,Otros trabajadores que desempeñan una ocupación afín a las comprendidas en este grupo,1,7601,7601,1,760,760,1,76,76,1,7,7,4d,official_unique
5160,"Jefes, coordinadores, contratistas y similares en la construcción, instalación, mantenimiento y acabados",1,1615,1615,1,161,161,1,16,16,1,1,1,4d,official_unique
5161,"Supervisores, inspectores y similares en la construcción, instalación, mantenimiento y acabados",1,7101,7101,1,710,710,1,71,71,1,7,7,4d,official_unique
5169,Otros trabajadores que desempeñan una ocupación afín a las comprendidas en este subgrupo,2,1615|1619,NA,1,161,161,1,16,16,1,1,1,3d,official_multiple_unresolved
5170,"Jefes, coordinadores y similares en la generación de energía, la instalación, reparación y mantenimiento de equipo eléctrico y de telecomunicaciones",2,1613|8101,NA,2,161|810,NA,2,16|81,NA,2,1|8,NA,unresolved,official_multiple_unresolved
